A_pre,beta,ci_hi,ci_lo,cluster,d_hi90,d_hi95,d_lo90,d_lo95,d_m,equiv_002,mean_r_right,mean_r_wrong,method,model,n,n_right,n_wrong,row_type,s7_gap_hi,s7_gap_lo,se,se_m,stage7_verdict,stratum,term
,0.009709782065806461,0.020753674272611933,-0.0013341101409990105,model,,,,,,,,,,,,,,main_model,,,0.005634742376291336,,,,gamma
,0.009709782065806461,0.03129933744341302,-0.011879773311800096,cell,,,,,,,,,,,,,,main_model,,,0.011015281595787758,,,,gamma
,0.009709782065806461,0.023324580922091026,-0.003905016790478104,class,,,,,,,,,,,,,,main_model,,,0.006946453535006033,,,,gamma
,0.009709782065806461,0.02594968615632506,-0.006530122024712138,method,,,,,,,,,,,,,,main_model,,,0.00828581754079085,,,,gamma
,0.009709782065806461,0.02764204712246036,-0.008222482990847439,model_t(G-1),,,,,,,,,,,,,,main_model,,,0.005634742376291336,,,,gamma
,0.009709782065806461,0.018552287201160395,-0.0007765647418145081,model_cluster_bootstrap,,,,,,,,,,,,,,main_model,,,0.005133156789497264,,,,gamma
,-0.02360418813695499,0.009700531007874571,-0.05690890728178455,model,,,,,,,,,,,,,,extended_model,,,0.016992515752753398,,,,gamma
,0.06057572748060912,0.10527519640942887,0.01587625855178937,model,,,,,,,,,,,,,,extended_model,,,0.022806270384976332,,,,theta
,-0.02360418813695499,0.026149200486743938,-0.07335757676065392,cell,,,,,,,,,,,,,,extended_model,,,0.025384848203180734,,,,gamma
,0.06057572748060912,0.12724692023239892,-0.0060954652711806695,cell,,,,,,,,,,,,,,extended_model,,,0.034016539462862476,,,,theta
,-0.02360418813695499,0.004707120236814789,-0.05191549651072477,class,,,,,,,,,,,,,,extended_model,,,0.01444481040150216,,,,gamma
,0.06057572748060912,0.09961234603975022,0.021539108921468007,class,,,,,,,,,,,,,,extended_model,,,0.019917007944605672,,,,theta
0.16,-0.10209771200337356,,,,-0.061531257389178716,-0.05468157729422096,-0.1452395683671441,-0.15234139505100583,-0.10209771200337361,False,0.09788798560587966,-0.004209726397493891,vcd,q4b,330,65,265,per_cell,-0.05344889626825261,-0.1516223365829777,,0.025351559964689935,residual_structure,low_acc,gamma_m
0.16,-0.13136011085425156,,,,-0.07046405263998777,-0.05727986727455841,-0.19854049279182148,-0.2134077248275573,-0.13136011085425153,False,0.1528413890190629,0.02148127816481136,m3id,q4b,425,69,356,per_cell,-0.057708983198848915,-0.20830789647254902,,0.03972324493081333,residual_structure,low_acc,gamma_m
0.16,0.002853587607929276,,,,0.01139096222089152,0.01277498158883532,-0.0062929129293386316,-0.008345176580574747,0.002853587607929281,True,-0.010205718406022177,-0.007352130798092901,dola,q4b,516,88,428,per_cell,0.013180901107489899,-0.0076438782190541175,,0.0053992348232404985,sharpening_explains,low_acc,gamma_m
0.16,0.08645815517247084,,,,0.11197931469730857,0.11587946914579328,0.06062988893097686,0.0537754456834013,0.08645815517247088,False,-0.06168793010233739,0.024770225070133448,deco,q4b,448,73,375,per_cell,0.11712616677019606,0.05486865117933311,,0.015850563405606522,residual_structure,low_acc,gamma_m
0.8366666666666667,0.005709392570584019,,,,0.042092807815074365,0.051008724796512986,-0.033712635007513994,-0.04100434694490581,0.005709392570584004,False,-0.008705839265988596,-0.0029964466954045766,vcd,q4b,434,394,40,per_cell,0.0515622069191321,-0.04075296864982708,,0.023572825146076972,sharpening_explains,high_acc,gamma_m
0.8366666666666667,0.0677357173060624,,,,0.1162758407649528,0.12665677167675776,0.021388336363675334,0.013533799676454893,0.0677357173060624,False,-0.023404495865050483,0.04433122144101191,m3id,q4b,543,489,54,per_cell,0.12637068054544096,0.014957839232718031,,0.02894078326328915,residual_structure,high_acc,gamma_m
0.8366666666666667,-0.011412332838496655,,,,-0.0007711379463495797,0.001396432722698412,-0.021823235796268773,-0.023411925245888345,-0.011412332838496658,False,-0.004733284370896451,-0.016145617209393105,dola,q4b,551,493,58,per_cell,0.000925636609573872,-0.0236263244623509,,0.006418682336517229,sharpening_explains,high_acc,gamma_m
0.8366666666666667,0.10144268844033327,,,,0.13572594995537268,0.1421790834302297,0.06888048220634327,0.06192438755515669,0.10144268844033333,False,-0.008206820477259937,0.09323586796307334,deco,q4b,518,461,57,per_cell,0.14168895691335,0.062138303961274476,,0.020466751755356987,residual_structure,high_acc,gamma_m
0.24666666666666667,-0.041974159443685884,,,,-0.006557693444236199,-0.0005439828140313852,-0.07764643547730002,-0.08342924082753832,-0.041974159443685904,False,0.08852327408934225,0.04654911464565637,vcd,q9b,286,92,194,per_cell,0.0005811565274780639,-0.08482803191413794,,0.02128977743150602,sharpening_explains,low_acc,gamma_m
0.24666666666666667,0.050650070912407384,,,,0.07274394646125956,0.07727895108414157,0.027435974997639882,0.02298124543385087,0.050650070912407384,False,-0.011457012993577174,0.03919305791883021,m3id,q9b,435,114,321,per_cell,0.07723148755258795,0.023563297095010923,,0.013727901464606247,residual_structure,low_acc,gamma_m
0.24666666666666667,-0.0008562777008302401,,,,0.012851933920113624,0.015116103922748684,-0.015014260379928986,-0.017276311095155854,-0.0008562777008302297,True,0.0173706354178317,0.01651435771700146,dola,q9b,423,120,303,per_cell,0.014625732971969953,-0.01728346537246794,,0.008573614191283158,sharpening_explains,low_acc,gamma_m
0.24666666666666667,0.025510870285446036,,,,0.033605355796380625,0.03515653164604272,0.01752139634964522,0.015985146742457143,0.02551087028544604,False,0.0003901685390774014,0.025901038824523437,deco,q9b,486,106,380,per_cell,0.0356444731583215,0.01581510064255435,,0.004884656397278522,residual_structure,low_acc,gamma_m
0.9183333333333333,0.12472799025638684,,,,0.18147925227217412,0.1918070706565282,0.0684364881854662,0.05969092509542159,0.1247279902563868,False,-0.025862068607936835,0.09886592164845001,vcd,q9b,440,419,21,per_cell,0.19691158939556047,0.0594643950037821,,0.034427227707162715,residual_structure,high_acc,gamma_m
0.9183333333333333,0.04148539321062229,,,,0.08884985152321645,0.10211558844162048,-0.00020948179221102036,-0.0067020814040119284,0.04148539321062229,False,-0.02153074049683796,0.019954652713784334,m3id,q9b,576,538,38,per_cell,0.10123729796849187,-0.006448647650899064,,0.027768878908916602,sharpening_explains,high_acc,gamma_m
0.9183333333333333,0.02756577047738974,,,,0.05773973129041486,0.06429365963611687,0.0013460735286787951,-0.0022190464928631523,0.027565770477389756,False,0.0044413789796456495,0.03200714945703539,dola,q9b,459,427,32,per_cell,0.06472827560980812,-0.0018041031854874377,,0.017236388742501278,sharpening_explains,high_acc,gamma_m
0.9183333333333333,-0.00142351464048991,,,,0.0135057769090287,0.016272155029634566,-0.015232271975886422,-0.017430198360813595,-0.001423514640489905,True,0.009707420508816855,0.008283905868326944,deco,q9b,519,476,43,per_cell,0.01600127584932501,-0.017674130006891928,,0.008536275181298271,sharpening_explains,high_acc,gamma_m
0.018333333333333333,-0.0416111972294206,,,,,,,,,,0.08613561898642738,0.04452442175700678,vcd,llava16,339,5,334,per_cell,,,,,insufficient_n,low_acc,gamma_m
0.018333333333333333,-0.11779831224519964,,,,,,,,,,0.13321559082673745,0.015417278581537805,m3id,llava16,445,9,436,per_cell,,,,,insufficient_n,low_acc,gamma_m
0.018333333333333333,0.018746623517446735,,,,,,,,,,-0.013712306388272472,0.005034317129174265,dola,llava16,591,11,580,per_cell,,,,,insufficient_n,low_acc,gamma_m
